0.295626 2.99936e-06 0.42453 0.70724 1.28055e-05 0.706974 6.21381e-06 
0.296129 0.00147669 0.424439 0.707829 0.00150121 0.706379 -0.00203188 
0.297593 0.00592843 0.424159 0.709574 0.00598627 0.704558 -0.00813054 
0.299879 0.013448 0.42367 0.71241 0.0135271 0.701396 -0.0182418 
0.302746 0.0241766 0.422939 0.716222 0.0242202 0.696705 -0.0322814 
0.305844 0.0382934 0.421917 0.720845 0.0381962 0.690225 -0.0501224 
0.308692 0.0559951 0.420546 0.726059 0.0556151 0.681631 -0.0715868 
0.31067 0.0774667 0.418751 0.731577 0.0766599 0.670536 -0.0964351 
0.310998 0.102842 0.416449 0.737041 0.101527 0.656505 -0.124353 
0.308732 0.132154 0.413544 0.742014 0.130415 0.639063 -0.15494 
0.30276 0.165267 0.40993 0.745968 0.16351 0.617713 -0.187691 
0.291824 0.201808 0.405491 0.748279 0.200966 0.591956 -0.221987 
0.274556 0.241076 0.400106 0.748223 0.242885 0.56132 -0.257079 
0.249555 0.281961 0.39365 0.744966 0.289284 0.525385 -0.292081 
0.215507 0.322846 0.385996 0.737576 0.340057 0.483836 -0.325953 
0.17501 0.35881 0.377742 0.72617 0.390708 0.440238 -0.355266 
0.13213 0.387055 0.369535 0.711918 0.437571 0.398093 -0.378452 
0.0887295 0.40802 0.361531 0.69564 0.480386 0.358117 -0.396315 
0.0463681 0.422473 0.353864 0.678124 0.519017 0.320856 -0.409659 
0.00627836 0.431387 0.34665 0.660107 0.553423 0.28671 -0.419259 
-0.0306204 0.435836 0.339986 0.642263 0.583646 0.255954 -0.425845 
-0.0636876 0.436905 0.333955 0.625192 0.609779 0.228766 -0.430082 
-0.0925145 0.435632 0.328624 0.609424 0.631952 0.20525 -0.432564 
-0.116873 0.432954 0.324049 0.595408 0.650314 0.18545 -0.433809 
-0.136664 0.429686 0.320272 0.583519 0.665015 0.169376 -0.43425 
-0.151872 0.426496 0.317328 0.574057 0.676195 0.157015 -0.434241 
-0.162524 0.423904 0.315242 0.567252 0.683971 0.148344 -0.434054 
-0.168661 0.422275 0.31403 0.563262 0.688433 0.143342 -0.433877 
